API,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,GOR_30,GOR_60,GOR_90
05123371740000,9056,1025.868,790.7205,2300.919963201471,2290.231374581782,2171.635751513385
05123377360000,4101,,,3786.669638876504,3838.0965789103193,4012.1426205983003
05123378210000,4161,916.0801,839.928,2399.4905048633623,2291.864861568483,2472.275585050646
05123378650100,4129,831.1531,,3907.5491209927613,4122.576934138625,4553.377379813961
05123380130000,4539,1032.233,755.1343,1758.110772539881,1323.960531569041,1182.969280306326
05123331840000,4012,,,3247.30323611666,3476.586102719033,3580.817730225448
05123362810000,3880,,,1780.6277816818922,1675.56946849607,1713.4574305767471
05123378830000,5127,531.6008,821.0627,4896.290909090909,4854.55715549835,5284.324070817212
05123377810000,7225,661.5884,477.7138,5053.053373938131,5212.441012441012,5510.159831495477
05123375140000,4104,624.5444,997.5163,2970.478325859491,3008.072553318716,3049.710564399421
05123374220000,4133,938.7385,619.2685,1411.233248004818,1468.04142117479,1378.192730910303
05123374200000,3944,931.8636,585.5887,1346.452702702702,1300.4331683168311,1410.099931344877
05123374170000,4207,861.6631,578.2805,1272.212242641978,1357.804519089256,1376.419721218378
05123372160000,3876,947.3331,621.9636,2452.484742807323,2683.8701496322587,2810.944363103953
05123371790000,9213,957.7669999999999,773.6118,2053.19969159599,2052.958282071356,2073.551542513167
05123370110000,4514,819.8494,1189.855,11281.082529474812,10579.328597297672,10593.51972258344
05123385320000,6843,708.0206,694.8844,1341.3770913770911,1147.26123202596,1197.119410484006
05123385750000,7280,952.8716,675.6364,1502.329521389241,1579.2944279591159,1555.454249430153
05123387080000,4262,793.2744,461.6017,1680.006707282991,1666.2500422254502,1833.351041223969
05123365290000,6677,256.0133,1075.095,1835.3377686796312,1927.799808560098,2428.1317885590147
05123365200000,4101,351.3736,444.7654,11806.277587052475,11233.929921855306,11746.953471196455
05123352940000,4169,,,1750.763807285546,1771.865397586749,1652.633402633402
05123390330000,9188,969.5651,701.0484,2806.533533417984,2667.270023918805,3042.5785913251093
05123367400000,3927,,,3308.5740486015584,2762.5797306874547,3162.784495021337
