API,PermitDate,SpudDate,CompletionDate,FirstProductionDate,operatorNameIHS,formation,BasinName,StateName,CountyName,LatWGS84,LonWGS84,BottomHoleLatitude,BottomHoleLongitude
33105037530000,2014-09-10,2014-12-31,2015-05-05,2015-03-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.227596039,-103.29959999299999,48.2546,-103.29997
33105032020000,2013-09-09,2013-11-02,2014-04-28,2014-04-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.230954461,-103.189754169,48.1983,-103.19195
33025015060000,2011-10-14,2014-11-23,2015-02-03,2015-01-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.37282054,-102.94814411799999,47.40027,-102.94731
33053051210000,2013-07-12,2013-08-09,2014-02-04,2014-02-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,48.038937898,-102.83361243,48.0593,-102.83318
33025015810000,2012-01-06,2014-09-06,2015-01-16,2015-01-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.560366708000004,-103.04866330200001,47.58723,-103.04573
33025021950000,2013-07-03,2013-08-08,2014-02-25,2014-02-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.492003791,-102.59480134299999,47.53055,-102.59843000000001
33061030980000,2014-05-06,2014-09-28,2015-01-25,2015-01-01 00:00:00.000,EOG RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,47.97894423899999,-102.20676460799999,48.00087,-102.23379
33061030430000,2014-03-28,2014-05-22,2014-11-08,2014-11-01 00:00:00.000,EOG RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,47.97647461,-102.212912216,47.96405,-102.20200000000001
33061028250100,2013-11-20,2014-04-12,2014-08-03,2014-07-01 00:00:00.000,EOG RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,47.993761744,-102.174281673,48.022259999999996,-102.20579000000001
33053050690000,2013-06-19,2013-11-17,2014-05-10,2014-05-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.93350568100001,-102.90987981200001,47.90674,-102.90827
33025026520000,2014-08-22,2014-09-30,2015-03-09,2015-03-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.53259441,-102.737717255,47.5028,-102.72563000000001
33025025330000,2014-05-12,2014-06-07,2015-02-15,2015-02-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.546694195,-102.836056949,47.58846,-102.83928
33053050710000,2013-06-19,2013-10-25,2014-06-08,2014-06-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.93350569,-102.91024701,47.90593,-102.91117
33025022600000,2013-08-28,2013-11-29,2014-04-26,2014-04-01 00:00:00.000,BRUIN E&P OPERATING LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.616794213,-102.770516846,47.58957,-102.77641
33061029830000,2014-02-26,2014-05-15,2014-09-25,2014-09-01 00:00:00.000,EOG RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,47.976484563,-102.203103166,47.95727,-102.17368
33053059470100,2014-05-16,2014-08-14,2014-10-08,2014-09-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,48.025233283999995,-103.65292035799999,48.052690000000005,-103.65491999999999
33053055610000,2013-12-19,2014-05-19,2014-10-05,2014-10-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.788928308,-102.956217515,47.76132,-102.95596
33025015580000,2011-11-25,2014-07-14,2015-03-02,2015-02-01 00:00:00.000,BRUIN E&P OPERATING LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.618447196999995,-102.74099164799999,47.589009999999995,-102.73642
33053053470000,2013-09-30,2014-02-15,2014-08-30,2014-08-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,48.023108741,-102.679649291,48.00815,-102.67921
33105032300000,2013-09-23,2014-02-02,2014-05-20,2014-05-01 00:00:00.000,WHITING OIL & GAS CORPORATION,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.254815343000004,-103.40199678100001,48.227470000000004,-103.40080999999999
33053058910000,2014-05-01,2014-06-25,2014-10-13,2014-09-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.906958999,-102.993574778,47.93357,-102.99199
33053053730200,2013-10-10,2014-03-13,2014-05-17,2014-05-01 00:00:00.000,IRON OIL OPERATING LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.672600045,-103.640653114,47.70299,-103.641
33053051530000,2013-07-29,2013-09-03,2014-04-27,2014-04-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.99292831100001,-103.020489952,48.02321,-103.01697
33105035830000,2014-06-19,2014-11-07,2015-05-31,2015-02-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.603375547,-103.033393858,48.63261,-103.02871999999999
33053052940000,2013-09-20,2014-02-13,2014-10-18,2014-08-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.906769437,-103.514499769,47.934490000000004,-103.51648
33061027510000,2013-09-26,2013-10-28,2014-03-15,2014-02-01 00:00:00.000,EOG RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,47.877259626000004,-102.27983272600001,47.8627,-102.28168000000001
33025015050000,2011-10-13,2013-09-30,2014-02-22,2014-02-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.502820361000005,-102.97403835600001,47.530359999999995,-102.97352
33105032000000,2013-09-09,2013-12-09,2014-05-10,2014-04-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.230955761000004,-103.190759481,48.25484,-103.19207
33053047350000,2013-01-18,2013-04-28,2014-05-24,2014-05-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.991963036,-103.355453095,47.964490000000005,-103.35554
33053051320000,2013-07-23,2013-09-25,2014-02-08,2014-02-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,48.038925038,-102.84007282399999,48.059290000000004,-102.83873
33061026850000,2013-08-29,2013-09-23,2014-02-03,2014-02-01 00:00:00.000,EOG RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,48.156917054,-102.26970873299999,48.17678,-102.28667
33053051910000,2013-08-13,2013-10-11,2014-04-02,2014-04-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.991275598,-102.79564258799999,47.96372,-102.79251
33053052960100,2013-09-20,2014-01-03,2014-03-13,2014-03-01 00:00:00.000,IRON OIL OPERATING LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.673204131000006,-103.65785239899999,47.703,-103.65553
33025025350000,2014-05-12,2014-06-09,2015-02-17,2015-02-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.546708348,-102.823052777,47.58798,-102.82306
33025015390100,2011-11-09,2015-02-05,2015-06-18,2015-05-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.487282513000004,-102.940230541,47.445029999999996,-102.93658
33061031960000,2014-07-11,2014-10-16,2015-04-25,2015-04-01 00:00:00.000,OASIS PETROLEUM NORTH AMERICA LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,48.08209815399999,-102.620456462,48.10962,-102.6181
33053072000100,2015-08-11,2015-09-10,2015-12-14,2015-12-01 00:00:00.000,WHITING OIL & GAS CORPORATION,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,48.081061148,-103.16852498700001,48.0536,-103.17047
33061027170200,2013-09-12,2013-12-27,2014-05-21,2014-05-01 00:00:00.000,EOG RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,48.108920586,-102.236148335,48.09069,-102.20456
33053045380000,2012-10-24,2013-08-03,2014-02-28,2014-02-01 00:00:00.000,BRUIN E&P OPERATING LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.99123709,-102.62851718799999,48.02265,-102.62532
33023011830000,2014-03-18,2014-06-10,2014-07-20,2014-07-01 00:00:00.000,HUNT OIL COMPANY,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DIVIDE,48.778100006,-103.699466624,48.80701,-103.69769000000001
33061033490000,2014-10-10,2015-02-27,2015-08-12,2015-07-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,48.153094454,-102.779683297,48.11077,-102.77485
33053066380000,2015-01-07,2015-02-15,2015-07-25,2015-07-01 00:00:00.000,QEP ENERGY COMPANY,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.732582027,-102.897579055,47.76,-102.89888
33025027200000,2014-10-28,2014-11-28,2015-10-03,2015-10-01 00:00:00.000,PETRO-HUNT LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.387975001,-103.097519424,47.4146,-103.09637
33025026820000,2014-10-02,2015-05-15,2015-08-29,2015-08-01 00:00:00.000,BRUIN E&P OPERATING LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.589036081,-102.657072226,47.61649,-102.65156
33053064360000,2014-11-06,2014-12-08,2015-06-11,2015-06-01 00:00:00.000,PETRO-HUNT DAKOTA LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.532763551,-103.810306966,47.56009,-103.8136
33105040110000,2015-03-24,2015-06-28,2015-10-23,2015-09-01 00:00:00.000,WHITING OIL & GAS CORPORATION,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.19864681399999,-103.464148161,48.17001,-103.46388
33053058990000,2014-05-02,2015-03-05,2015-08-06,2015-08-01 00:00:00.000,BRUIN E&P OPERATING LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.964022177,-102.626025034,47.99143,-102.62397
33023010680100,2013-07-02,2014-01-05,2014-02-16,2014-02-01 00:00:00.000,HUNT OIL COMPANY,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DIVIDE,48.748674196,-103.84582706200001,48.721270000000004,-103.84523
33061036130100,2015-03-06,2015-04-05,2015-09-30,2015-09-01 00:00:00.000,EOG RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,48.0240736,-102.15049598,48.0513,-102.18395
33053047860000,2013-02-07,2014-07-09,2015-11-27,2015-11-01 00:00:00.000,ENERPLUS RESOURCES (USA) CORPORATION,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.758824991000004,-102.683949973,47.759190000000004,-102.6433
33053060400000,2014-06-23,2014-10-18,2015-07-03,2015-06-01 00:00:00.000,PETRO-HUNT DAKOTA LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.675747177,-103.759886147,47.70288,-103.76203000000001
33053064100000,2014-10-27,2014-11-30,2015-12-07,2015-04-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.788178013999996,-103.032402477,47.81794,-103.02844
33053060370000,2014-06-23,2014-08-05,2015-05-12,2015-05-01 00:00:00.000,PETRO-HUNT DAKOTA LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.675747178,-103.759275027,47.70296,-103.75664
33105040050000,2015-03-06,2015-08-24,2015-12-10,2015-12-01 00:00:00.000,WHITING OIL & GAS CORPORATION,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.199221922,-103.422981916,48.16955,-103.42142
33061030450000,2014-03-28,2014-05-06,2014-09-15,2014-07-01 00:00:00.000,KRAKEN DEVELOPMENT III LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,48.09485171,-102.465666414,48.07152,-102.46554
33105035820000,2014-06-19,2014-08-24,2015-05-19,2015-03-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.603374446000004,-103.03256724799999,48.57598,-103.03412
